FID,Field1,Field2,Field3,Slope,Aspect,Elevation
0,40.636282999999999,-124.030983000000010,EELS_01,10.0042000,264.1229858,356.7460022
1,40.634816999999998,-124.034333000000000,RIDG_02,9.4383698,340.5769958,386.4479980
2,40.634117000000003,-124.034850000000010,RIDG_01,13.6982002,358.3009949,402.9450073
3,40.633899999999997,-124.061867000000010,WORF_02,4.0654602,307.2200012,574.7860107
4,40.633766999999999,-124.061633000000000,WORF_01,2.8275399,311.6679993,577.0410156
5,40.630966999999998,-124.059783000000000,WORF_03,6.0380802,318.8139954,598.0100098
6,40.629182999999998,-124.093833000000000,SALM_03,13.3576002,247.4649963,494.3479919
7,40.629033000000000,-124.064217000000000,WOLF_03,0.9958390,254.0220032,540.2490234
8,40.628767000000003,-124.064400000000010,WOLF_04,2.6764700,225.0919952,539.1649780
9,40.628366999999997,-124.093383000000000,SALM_02,16.8530998,218.7019958,493.6400146
10,40.627983000000000,-124.092083000000000,SALM_01,1.6950200,10.4068003,504.8229980
11,40.628183000000000,-124.070017000000010,WOLF_01,1.1129400,98.2265015,529.8400269
12,40.628050000000002,-124.070449999999990,WOLF_02,1.3646801,177.2330017,530.0780029
13,40.623016999999997,-124.059433000000000,WORF_05,24.9881992,16.8547993,439.0379944
14,40.619532999999997,-124.080749999999990,GOG_01,15.8218002,315.6419983,519.8280029
15,40.619117000000003,-124.080350000000000,GOG_02,9.0565996,194.4450073,526.6920166
