sample_id,ages,SD,depth
WOMT-01d5,480,30,15
WOMT-01d19,680,40,19
WOMT-02d2,575,30,2
WOMT-02d15,365,30,15
SALM-01d0,365,30,0
SALM-01d13,175,40,13
SALM-03d3,840,30,3
SALM-03d22,90,30,22
GOG-01d18,445,30,18
GOG-02d4,90,30,4
GOG-02d16,155,35,16
SCT-01d16,680,30,16
SCT-01d20,1255,30,20
WORM-01d11,2285,35,11
RIDG-02d2,875,30,2
RIDG-02d11,2245,35,11
RIDG-01d19,830,30,19
EELS-01d6,305,30,6
EELS-01d13,75,30,13
WOLF-01d5,580,30,5
WOLF-02d3,1420,35,3
WOLF-03d10,3615,30,10
WOLF-03d45,265,30,45
WOLF-04d10,420,30,10
WORF-02d3,1155,30,3
WORF-02d20,985,30,20
WORF-03d8,3805,30,8
WORF-05d7,200,30,7
