Sample Code,Description,14C age,corrected error,cal curve,1 or 2 sigma,# of ranges,lower cal range BP ,upper cal range BP ,relative area,lower cal range BP ,upper cal range BP ,relative area,lower cal range BP ,upper cal range BP ,relative area,lower cal range BP ,upper cal range BP ,relative area,lower cal range BP ,upper cal range BP ,relative area,lower cal range BP ,upper cal range BP ,relative area,median probability
WOMT-01d5,Northern Hemisphere terrestrial sample,480,30,2,1,1,508,529,1,,,,,,,,,,,,,,,,520
WOMT-01d5,Northern Hemisphere terrestrial sample,480,30,2,2,1,499,542,1,,,,,,,,,,,,,,,,520
WOMT-01d19,Northern Hemisphere terrestrial sample,680,40,2,1,2,565,587,0.374443,645,674,0.625557,,,,,,,,,,,,,645
WOMT-01d19,Northern Hemisphere terrestrial sample,680,40,2,2,2,556,606,0.402174,625,687,0.597826,,,,,,,,,,,,,645
WOMT-02d2,Northern Hemisphere terrestrial sample,575,30,2,1,2,541,560,0.362963,598,632,0.637037,,,,,,,,,,,,,603
WOMT-02d2,Northern Hemisphere terrestrial sample,575,30,2,2,2,530,568,0.360642,584,648,0.639358,,,,,,,,,,,,,603
WOMT-02d15,Northern Hemisphere terrestrial sample,365,30,2,1,3,330,359,0.30779,369,371,0.02293,429,492,0.66928,,,,,,,,,,429
WOMT-02d15,Northern Hemisphere terrestrial sample,365,30,2,2,3,316,399,0.457989,404,405,0.001863,422,501,0.540149,,,,,,,,,,429
SALM-01d0,Northern Hemisphere terrestrial sample,365,30,2,1,3,330,359,0.30779,369,371,0.02293,429,492,0.66928,,,,,,,,,,429
SALM-01d0,Northern Hemisphere terrestrial sample,365,30,2,2,3,316,399,0.457989,404,405,0.001863,422,501,0.540149,,,,,,,,,,429
SALM-01d13,Northern Hemisphere terrestrial sample,175,40,2,1,4,1,25,0.190833,140,158,0.132904,163,221,0.480174,260,285,0.196089,,,,,,,176
SALM-01d13,Northern Hemisphere terrestrial sample,175,40,2,2,4,1,37,0.167694,65,118,0.118732,124,231,0.507508,243,298,0.206066,,,,,,,176
SALM-03d3,Northern Hemisphere terrestrial sample,840,30,2,1,2,709,713,0.036257,726,784,0.963743,,,,,,,,,,,,,747
SALM-03d3,Northern Hemisphere terrestrial sample,840,30,2,2,2,686,796,0.994182,887,891,0.005818,,,,,,,,,,,,,747
SALM-03d22,Northern Hemisphere terrestrial sample,90,30,2,1,5,33,74,0.420658,79,81,0.007893,100,106,0.049001,114,136,0.219751,225,254,0.302697,,,,108
SALM-03d22,Northern Hemisphere terrestrial sample,90,30,2,2,2,22,142,0.726366,218,265,0.273634,,,,,,,,,,,,,108
GOG-01d18,Northern Hemisphere terrestrial sample,445,30,2,1,1,495,520,1,,,,,,,,,,,,,,,,507
GOG-01d18,Northern Hemisphere terrestrial sample,445,30,2,2,1,465,534,1,,,,,,,,,,,,,,,,507
GOG-02d4,Northern Hemisphere terrestrial sample,90,30,2,1,5,33,74,0.420658,79,81,0.007893,100,106,0.049001,114,136,0.219751,225,254,0.302697,,,,108
GOG-02d4,Northern Hemisphere terrestrial sample,90,30,2,2,2,22,142,0.726366,218,265,0.273634,,,,,,,,,,,,,108
GOG-02d16,Northern Hemisphere terrestrial sample,155,35,2,1,6,4,32,0.204486,83,97,0.063968,108,111,0.015728,137,152,0.110487,169,224,0.420055,256,281,0.185276,169
GOG-02d16,Northern Hemisphere terrestrial sample,155,35,2,2,5,1,41,0.17547,60,120,0.185774,121,156,0.12545,165,233,0.33599,240,285,0.177317,,,,169
GOV-01d7,Northern Hemisphere terrestrial sample,1010,35,2,1,1,910,964,1,,,,,,,,,,,,,,,,931
GOV-01d7,Northern Hemisphere terrestrial sample,1010,35,2,2,3,798,871,0.208292,897,981,0.790814,1040,1040,0.000894,,,,,,,,,,931
GOV-01d23,Northern Hemisphere terrestrial sample,1050,30,2,1,1,931,970,1,,,,,,,,,,,,,,,,957
GOV-01d23,Northern Hemisphere terrestrial sample,1050,30,2,2,2,924,1003,0.908464,1028,1050,0.091536,,,,,,,,,,,,,957
GOV-01d31,Northern Hemisphere terrestrial sample,4095,30,2,1,2,4527,4622,0.805499,4764,4786,0.194501,,,,,,,,,,,,,4603
GOV-01d31,Northern Hemisphere terrestrial sample,4095,30,2,2,4,4450,4464,0.021634,4518,4653,0.677075,4668,4705,0.08409,4757,4809,0.217201,,,,,,,4603
GOV-01d31,Northern Hemisphere terrestrial sample,4490,60,2,1,3,5046,5089,0.198567,5098,5143,0.204084,5157,5286,0.597349,,,,,,,,,,5145
GOV-01d31,Northern Hemisphere terrestrial sample,4490,60,2,2,3,4891,4900,0.006196,4911,4927,0.011621,4959,5313,0.982184,,,,,,,,,,5145
GOV-01d38,Northern Hemisphere terrestrial sample,4185,30,2,1,3,4650,4671,0.192951,4700,4759,0.598347,4807,4829,0.208702,,,,,,,,,,4727
GOV-01d38,Northern Hemisphere terrestrial sample,4185,30,2,2,2,4618,4765,0.762092,4785,4837,0.237908,,,,,,,,,,,,,4727
GOV-01d50,Northern Hemisphere terrestrial sample,4075,30,2,1,4,4452,4462,0.068222,4520,4585,0.712499,4597,4610,0.094412,4767,4782,0.124867,,,,,,,4565
GOV-01d50,Northern Hemisphere terrestrial sample,4075,30,2,2,4,4442,4483,0.118906,4511,4646,0.709645,4674,4695,0.027278,4761,4804,0.14417,,,,,,,4565
