Site_id,depth_category,depth,kmd_dry_weight ,mass_2,mass_0.5,total_mass,total_mass_mg,mgC_g
RIDG_01,A,0-50,2.585,,0.0001,0.0001,0.1,0.03868472
RIDG_01,B,50-100,35.39,0.0001,0.0552,0.0553,55.3,1.562588302
RIDG_01,C,100-150,56.198,0.0609,0.1576,0.2185,218.5,3.88803872
RIDG_01,D,150-200,110.581,0.1097,0.1236,0.2333,233.3,2.109765692
RIDG_01,E,200-250,90.04,0.0323,0.1812,0.2135,213.5,2.37116837
RIDG_01,F,250-300,116.883,,0.3304,0.3304,330.4,2.826758382
RIDG_01,G,bottom,42.228,,0.0046,0.0046,4.6,0.108932462
RIDG_02,A,0-50,9.69,0.0078,0.0038,0.0116,11.6,1.197110423
RIDG_02,B,50-100,73.97,0.0387,0.0688,0.1075,107.5,1.453291875
RIDG_02,C,100-150,100.564,0.0859,0.2092,0.2951,295.1,2.934449704
RIDG_02,D,150-200,119.934,0.0297,0.2156,0.2453,245.3,2.045291577
RIDG_02,E,200-250,112.124,,0.0788,0.0788,78.8,0.702793336
RIDG_02,F,250-300,154.157,,0.0205,0.0205,20.5,0.132981311
RIDG_02,G,bottom,36.151,,0.0001,0.0001,0.1,0.002766175
EELS_01,A,0-50,0.084,,0.1058,0.1058,105.8,1259.52381
EELS_01,B,50-100,19.902,,0.0251,0.0251,25.1,1.261179781
EELS_01,C,100-150,56.144,0.0127,0.0371,0.0498,49.8,0.887004845
EELS_01,D,150-200,86.043,0.0159,0.1928,0.2087,208.7,2.42553142
EELS_01,E,200-250,119.102,0.0185,0.1124,0.1309,130.9,1.09905795
EELS_01,F,250-300,121.111,,0.0555,0.0555,55.5,0.458257301
EELS_01,G,bottom,67.676,,0.0271,0.0271,27.1,0.400437378
SALM_01,A,0-50,14.8782,,,0,0,0
SALM_01,B,50-100,40.6494,,,0,0,0
SALM_01,C,100-150,4.4236,,0.0445,0.0445,44.5,10.0596799
SALM_01,D,150-200,73.6418,0.0056,0.1584,0.164,164,2.226996081
SALM_01,E,200-250,74.7241,0.4783,0.1176,0.5959,595.9,7.974669484
SALM_01,F,250-300,91.579,0.3926,0.2472,0.6398,639.8,6.986317824
SALM_01,G,bottom,56.0984,0.0961,,0.0961,96.1,1.713061335
SALM_02,A,0-50,0.495,,,0,0,0
SALM_02,B,50-100,22.5415,,,0,0,0
SALM_02,C,100-150,75.7563,,0.0345,0.0345,34.5,0.455407669
SALM_02,D,150-200,116.3064,0.0057,0.09,0.0957,95.7,0.822826603
SALM_02,E,200-250,111.1935,0.0109,0.0772,0.0881,88.1,0.7923125
SALM_02,F,250-300,144.907,0.0527,0.2584,0.3111,311.1,2.146894215
SALM_02,G,bottom,62.7543,0.0289,,0.0289,28.9,0.460526211
SALM_03,A,0-50,0,0.0154,0.0178,0.0332,33.2,#DIV/0!
SALM_03,B,50-100,33.5018,0.1595,0.1264,0.2859,285.9,8.533869822
SALM_03,C,100-150,68.8462,0.5312,0.3028,0.834,834,12.11395836
SALM_03,D,150-200,80.0205,0.3022,0.2026,0.5048,504.8,6.308383477
SALM_03,E,200-250,83.9321,0.1781,0.3668,0.5449,544.9,6.492152585
SALM_03,F,250-300,88.3708,,0.2302,0.2302,230.2,2.604932851
SALM_03,G,bottom,68.1376,,0.0434,0.0434,43.4,0.636946414
WORF_01,A,0-50,0,,,0,0,#DIV/0!
WORF_01,B,50-100,16.3285,,0.0121,0.0121,12.1,0.741035613
WORF_01,C,100-150,77.2203,0.1381,0.3128,0.4509,450.9,5.839138154
WORF_01,D,150-200,80.9197,0.4486,0.212,0.6606,660.6,8.163648654
WORF_01,E,200-250,86.6904,0.1508,0.3588,0.5096,509.6,5.878390225
WORF_01,F,250-300,83.0133,,0.1516,0.1516,151.6,1.82621339
WORF_01,G,bottom,41.5287,,0.0413,0.0413,41.3,0.994492965
WORF_02,A,0-50,0,0.0395,0.0046,0.0441,44.1,#DIV/0!
WORF_02,B,50-100,2.5107,,0.0001,0.0001,0.1,0.03982953
WORF_02,C,100-150,56.105,,0.0001,0.0001,0.1,0.001782372
