site,site_name,Sample_id,depth_category,starting_weight,digested_weight,tin_weight,sample_weight,tray_number,C_percent,N_percent,Del_C,Del_N,mg Carbon,tray_number,type,site_type
RIDG,RIDG_01,RIDG_01A_kmd,A,1.0206,0.1965,33.493,8.728,h1,7.2,0.3,-29.7,-16.4,0.631,1,kmd,ridgetop mineral soil
RIDG,RIDG_01,RIDG_01B_kmd,B,0.9991,0.7089,34.098,8.125,a2,1.6,0.1,-29.8,-15.4,0.1333,1,kmd,ridgetop mineral soil
RIDG,RIDG_01,RIDG_01C_kmd,C,1.0236,0.8444,34.557,8.286,b2,0.2,0,-24.1,3.6,0.0199,1,kmd,ridgetop mineral soil
RIDG,RIDG_01,RIDG_01D_kmd,D,1.0009,0.8709,34.872,8.822,c2,0.4,0,-26.7,-3.2,0.0326,1,kmd,ridgetop mineral soil
RIDG,RIDG_01,RIDG_01E_kmd,E,1.0592,0.9155,34.846,8.63,d2,0.2,0,-25.2,4.5,0.0207,1,kmd,ridgetop mineral soil
RIDG,RIDG_01,RIDG_01F_kmd,F,1.0109,0.892,33.704,8.291,e2,0.2,0.1,-25.6,9.6,0.0199,1,kmd,ridgetop mineral soil
RIDG,RIDG_01,RIDG_01G_kmd,G,1.0003,0.847,33.831,8.564,f2,0.2,0.1,-25.2,10.6,0.0188,1,kmd,ridgetop mineral soil
EELS,EELS_01,EELS_01A_kmd,A,0.2461,0.0906,34.564,8.222,f3,2.1,0.1,-28.2,-5.3,0.171,1,kmd,valley mineral soil
EELS,EELS_01,EELS_01B_kmd,B,1.0511,0.6785,34.524,8.062,g3,0.9,0.1,-27.2,1.7,0.0701,1,kmd,valley mineral soil
EELS,EELS_01,EELS_01C_kmd,C,1.022,0.7607,30.249,8.433,h3,0.8,0.2,-26.2,5.2,0.0641,1,kmd,valley mineral soil
EELS,EELS_01,EELS_01D_kmd,D,0.9946,0.8705,34.662,8.306,a4,0.5,0.1,-27.9,2.7,0.0424,1,kmd,valley mineral soil
EELS,EELS_01,EELS_01E_kmd,E,0.9747,0.8114,33.784,8.919,b4,0.4,0.2,-25.3,11.7,0.0339,1,kmd,valley mineral soil
EELS,EELS_01,EELS_01F_kmd,F,0.9496,0.7737,34.467,8.424,c4,0.3,0.1,-24.6,8.5,0.0211,1,kmd,valley mineral soil
EELS,EELS_01,EELS_01G_kmd,G,0.9652,0.8588,33.855,8.762,d4,0.3,0.2,-23.5,10.7,0.0245,1,kmd,valley mineral soil
SALM,SALM_01,SALM_01A_kmd,A,0.9864,0.7614,30.686,8.897,d5,0.7,0.2,-25.3,7.5,0.0649,1,kmd,ridgetop mineral soil
SALM,SALM_01,SALM_01B_kmd,B,0.9737,0.6649,32.479,8.344,e5,1,0.2,-24.5,6.9,0.0868,1,kmd,ridgetop mineral soil
SALM,SALM_01,SALM_01C_kmd,C,1.0161,0.7675,34.624,8.867,f5,0.7,0.1,-25.5,4.3,0.0585,1,kmd,ridgetop mineral soil
SALM,SALM_01,SALM_01D_kmd,D,0.9997,0.8235,34.053,8.29,g5,0.5,0.2,-23.8,9.6,0.0415,1,kmd,ridgetop mineral soil
SALM,SALM_01,SALM_01E_kmd,E,1.0483,0.8921,34.664,8.354,h5,0.4,0.1,-24.2,11.5,0.0351,1,kmd,ridgetop mineral soil
SALM,SALM_01,SALM_01F_kmd,F,0.9792,0.8032,31.965,8.489,a6,0.5,0.2,-24.4,8.8,0.045,1,kmd,ridgetop mineral soil
SALM,SALM_01,SALM_01G_kmd,G,0.9873,0.7682,34.077,8.883,b6,0.9,0.1,-25.9,4.1,0.0755,1,kmd,ridgetop mineral soil
WOLF,WOLF_01,WOLF_01A_kmd,A,0.9509,0.6943,33.99,8.054,b7,1.1,0.1,-27.1,-3.3,0.087,1,kmd,hillslope mineral soil
WOLF,WOLF_01,WOLF_01B_kmd,B,1.0224,0.859,34.5,8.136,c7,0.6,0.1,-26,10,0.048,1,kmd,hillslope mineral soil
WOLF,WOLF_01,WOLF_01C_kmd,C,0.9974,0.8729,33.486,8.828,d7,0.2,0.1,-23.4,12.7,0.0203,1,kmd,hillslope mineral soil
WOLF,WOLF_01,WOLF_01D_kmd,D,1.0464,0.971,34.536,8.567,e7,0.2,0.1,-22.7,14.4,0.0137,1,kmd,hillslope mineral soil
WOLF,WOLF_01,WOLF_01E_kmd,E,1.0388,0.9612,33.788,8.666,f7,0.2,0.1,-21.7,16.7,0.0139,1,kmd,hillslope mineral soil
WOLF,WOLF_01,WOLF_01F_kmd,F,1.0351,0.9698,33.826,8.503,g7,0.1,0.2,-22.6,16.7,0.0094,1,kmd,hillslope mineral soil
WOLF,WOLF_01,WOLF_01G_kmd,G,1.0236,0.7542,33.886,8.265,h7,0.2,0.2,-21.3,16.3,0.0141,1,kmd,hillslope mineral soil
