site group,site name,Site,Depth,PyC g/m2,site_type
RIDG,RIDG,RIDG_01,A,18.32609335,ridgetop mineral soil
RIDG,RIDG,RIDG_01,B,209.7270205,ridgetop mineral soil
RIDG,RIDG,RIDG_01,C,56.67038487,ridgetop mineral soil
RIDG,RIDG,RIDG_01,D,181.2890618,ridgetop mineral soil
RIDG,RIDG,RIDG_01,E,95.10740896,ridgetop mineral soil
RIDG,RIDG,RIDG_01,F,126.0803534,ridgetop mineral soil
RIDG,RIDG,RIDG_01,G,66.77782105,ridgetop mineral soil
EELS,EELS,EELS_01,A,0.32757296,valley mineral soil
EELS,EELS,EELS_01,B,56.92380639,valley mineral soil
EELS,EELS,EELS_01,C,161.7557179,valley mineral soil
EELS,EELS,EELS_01,D,195.6184629,valley mineral soil
EELS,EELS,EELS_01,E,191.8617309,valley mineral soil
EELS,EELS,EELS_01,F,125.6448612,valley mineral soil
EELS,EELS,EELS_01,G,143.0959313,valley mineral soil
SALM,SALM,SALM_01,A,42.69867757,ridgetop mineral soil
SALM,SALM,SALM_01,B,147.0296487,ridgetop mineral soil
SALM,SALM,SALM_01,C,11.23081113,ridgetop mineral soil
SALM,SALM,SALM_01,D,154.4849935,ridgetop mineral soil
SALM,SALM,SALM_01,E,136.014545,ridgetop mineral soil
SALM,SALM,SALM_01,F,202.7475659,ridgetop mineral soil
SALM,SALM,SALM_01,G,314.9441469,ridgetop mineral soil
WORM,WOLF,WOLF_01,A,229.7688979,hillslope mineral soil
WORM,WOLF,WOLF_01,B,207.5633429,hillslope mineral soil
WORM,WOLF,WOLF_01,C,79.49118287,hillslope mineral soil
WORM,WOLF,WOLF_01,D,67.56981376,hillslope mineral soil
WORM,WOLF,WOLF_01,E,67.71707436,hillslope mineral soil
WORM,WOLF,WOLF_01,F,47.09467809,hillslope mineral soil
WORM,WOLF,WOLF_01,G,50.87557962,hillslope mineral soil
GOV,GOG,GOG_01,A,52.23234544,ridgetop mineral soil
GOV,GOG,GOG_01,B,230.2215761,ridgetop mineral soil
GOV,GOG,GOG_01,C,208.7916111,ridgetop mineral soil
GOV,GOG,GOG_01,D,146.6516505,ridgetop mineral soil
GOV,GOG,GOG_01,E,90.04878178,ridgetop mineral soil
GOV,GOG,GOG_01,F,93.66117833,ridgetop mineral soil
GOV,GOG,GOG_01,G,97.48188248,ridgetop mineral soil
WORM,WORF,WORF_01,A,0,hillslope mineral soil
WORM,WORF,WORF_01,B,351.0781255,hillslope mineral soil
WORM,WORF,WORF_01,C,317.1407986,hillslope mineral soil
WORM,WORF,WORF_01,D,373.9994896,hillslope mineral soil
WORM,WORF,WORF_01,E,198.2824031,hillslope mineral soil
WORM,WORF,WORF_01,F,165.0545874,hillslope mineral soil
WORM,WORF,WORF_01,G,138.7818356,hillslope mineral soil
GOV,GOG,GOG_02,A,173.8851788,ridgetop mineral soil
GOV,GOG,GOG_02,B,336.5436808,ridgetop mineral soil
GOV,GOG,GOG_02,C,242.523845,ridgetop mineral soil
GOV,GOG,GOG_02,D,158.5940892,ridgetop mineral soil
GOV,GOG,GOG_02,E,131.9417275,ridgetop mineral soil
GOV,GOG,GOG_02,F,90.15262282,ridgetop mineral soil
GOV,GOG,GOG_02,G,143.1418615,ridgetop mineral soil
RIDG,RIDG,RIDG_02,A,83.92097583,ridgetop mineral soil
RIDG,RIDG,RIDG_02,B,119.2338164,ridgetop mineral soil
RIDG,RIDG,RIDG_02,C,204.8160826,ridgetop mineral soil
RIDG,RIDG,RIDG_02,D,139.6331889,ridgetop mineral soil
RIDG,RIDG,RIDG_02,E,131.5682716,ridgetop mineral soil
RIDG,RIDG,RIDG_02,F,113.0565827,ridgetop mineral soil
RIDG,RIDG,RIDG_02,G,89.9404404,ridgetop mineral soil
SALM,SALM,SALM_02,A,3.546058728,hillslope mineral soil
SALM,SALM,SALM_02,B,76.01101154,hillslope mineral soil
SALM,SALM,SALM_02,C,160.1168228,hillslope mineral soil
SALM,SALM,SALM_02,D,228.3484708,hillslope mineral soil
SALM,SALM,SALM_02,E,163.661812,hillslope mineral soil
SALM,SALM,SALM_02,F,530.6996069,hillslope mineral soil
SALM,SALM,SALM_02,G,337.5561873,hillslope mineral soil
SALM,SALM,SALM_03,A,0,ridgetop mineral soil
SALM,SALM,SALM_03,B,112.7307925,ridgetop mineral soil
SALM,SALM,SALM_03,C,170.5818934,ridgetop mineral soil
SALM,SALM,SALM_03,D,178.5844932,ridgetop mineral soil
SALM,SALM,SALM_03,E,119.9032809,ridgetop mineral soil
SALM,SALM,SALM_03,F,117.2429199,ridgetop mineral soil
SALM,SALM,SALM_03,G,124.6387208,ridgetop mineral soil
WORM,WOLF,WOLF_02,A,175.0828517,hillslope mineral soil
WORM,WOLF,WOLF_02,B,186.2535297,hillslope mineral soil
WORM,WOLF,WOLF_02,C,334.5338201,hillslope mineral soil
WORM,WOLF,WOLF_02,D,169.5148081,hillslope mineral soil
WORM,WOLF,WOLF_02,E,105.5047899,hillslope mineral soil
WORM,WOLF,WOLF_02,F,73.44050493,hillslope mineral soil
WORM,WOLF,WOLF_02,G,125.2288609,hillslope mineral soil
WORM,WOLF,WOLF_03,A,142.5280597,ridgetop mineral soil
WORM,WOLF,WOLF_03,B,194.349751,ridgetop mineral soil
WORM,WOLF,WOLF_03,C,136.3331143,ridgetop mineral soil
WORM,WOLF,WOLF_03,D,96.85006825,ridgetop mineral soil
WORM,WOLF,WOLF_03,E,118.3045345,ridgetop mineral soil
WORM,WOLF,WOLF_03,F,112.3450546,ridgetop mineral soil
WORM,WOLF,WOLF_03,G,115.7660156,ridgetop mineral soil
WORM,WOLF,WOLF_04,A,110.8050111,ridgetop mineral soil
WORM,WOLF,WOLF_04,B,215.2658999,ridgetop mineral soil
WORM,WOLF,WOLF_04,C,233.1899383,ridgetop mineral soil
WORM,WOLF,WOLF_04,D,116.9891232,ridgetop mineral soil
WORM,WOLF,WOLF_04,E,95.75708912,ridgetop mineral soil
WORM,WOLF,WOLF_04,F,119.5442961,ridgetop mineral soil
WORM,WOLF,WOLF_04,G,80.43865379,ridgetop mineral soil
WORM,WORF,WORF_02,A,0,hillslope mineral soil
WORM,WORF,WORF_02,B,21.78630345,hillslope mineral soil
WORM,WORF,WORF_02,C,342.5170413,hillslope mineral soil
WORM,WORF,WORF_02,D,226.59291,hillslope mineral soil
WORM,WORF,WORF_02,E,342.3280709,hillslope mineral soil
WORM,WORF,WORF_02,F,1.869153959,hillslope mineral soil
WORM,WORF,WORF_02,G,129.2928933,hillslope mineral soil
WORM,WORF,WORF_03,A,12.99681797,ridgetop mineral soil
WORM,WORF,WORF_03,B,118.0548648,ridgetop mineral soil
WORM,WORF,WORF_03,C,154.4424768,ridgetop mineral soil
WORM,WORF,WORF_03,D,163.999025,ridgetop mineral soil
WORM,WORF,WORF_03,E,123.1823329,ridgetop mineral soil
WORM,WORF,WORF_03,F,120.2501453,ridgetop mineral soil
WORM,WORF,WORF_03,G,133.0687607,ridgetop mineral soil
WORM,WORF,WORF_04,A,122.1523485,ridgetop mineral soil
WORM,WORF,WORF_04,B,146.8572876,ridgetop mineral soil
WORM,WORF,WORF_04,C,137.1568919,ridgetop mineral soil
WORM,WORF,WORF_04,D,76.60651102,ridgetop mineral soil
WORM,WORF,WORF_04,E,76.72908732,ridgetop mineral soil
WORM,WORF,WORF_04,F,78.0617102,ridgetop mineral soil
WORM,WORF,WORF_04,G,115.6509313,ridgetop mineral soil
WORM,WORF,WORF_05,A,156.5478031,ridgetop mineral soil
WORM,WORF,WORF_05,B,208.9910925,ridgetop mineral soil
WORM,WORF,WORF_05,C,83.47170398,ridgetop mineral soil
WORM,WORF,WORF_05,D,63.94150106,ridgetop mineral soil
WORM,WORF,WORF_05,E,38.31169689,ridgetop mineral soil
WORM,WORF,WORF_05,F,68.93041583,ridgetop mineral soil
WORM,WORF,WORF_05,G,0,ridgetop mineral soil
