sites,pyc_totc_av_%,av_%_pyc,sum_pyc_gm2,site_type,stie#
EELS_01,10.04142857,0.444071429,817.989708,valley mineral soil,1
GOG_01,13.13714286,0.381142857,880.0962708,ridgetop mineral soil,2
GOG_02,15.32857143,0.431414286,1219.526258,ridgetop mineral soil,2
RIDG_01,17.78285714,0.525857143,727.2670142,ridgetop mineral soil,2
RIDG_02,15.14714286,0.473285714,846.1931803,ridgetop mineral soil,2
SALM_01,9.091428571,0.519657143,883.1727235,ridgetop mineral soil,2
SALM_02,22.24,0.644428571,1364.917488,hillslope mineral soil,3
SALM_03,17.46142857,0.403171429,773.82661,ridgetop mineral soil,2
WOLF_01,16.44714286,0.287214286,729.7303366,hillslope mineral soil,3
WOLF_02,16.22571429,0.488542857,1119.467619,hillslope mineral soil,3
WOLF_03,15.56285714,0.381414286,870.1701893,ridgetop mineral soil,2
WOLF_04,14.56,0.441271429,939.8145483,ridgetop mineral soil,2
WORF_01,30.09285714,1.157971429,1488.824503,hillslope mineral soil,3
WORF_02,11.64142857,1.097771429,1012.669213,hillslope mineral soil,3
WORF_03,12.73571429,0.399171429,772.7669165,ridgetop mineral soil,2
WORF_04,16.70428571,0.335514286,706.9543931,ridgetop mineral soil,2
WORF_05,19.74714286,0.327071429,620.1942134,ridgetop mineral soil,2
