site,Site_id,sample_id,depth (mm),pre sample weight,post sample weight
RIDG,RIDG_01,A,0-50,1.0206,0.1965
RIDG,RIDG_01,B,50-100,0.9991,0.7089
RIDG,RIDG_01,C,100-150,1.0236,0.8444
RIDG,RIDG_01,D,150-200,1.0009,0.8709
RIDG,RIDG_01,E,200-250,1.0592,0.9155
RIDG,RIDG_01,F,250-300,1.0109,0.892
RIDG,RIDG_01,G,bottom,1.0003,0.847
RIDG,RIDG_02,A,0-50,1.0492,0.6376
RIDG,RIDG_02,B,50-100,1.0268,0.8787
RIDG,RIDG_02,C,100-150,1.0297,0.7821
RIDG,RIDG_02,D,150-200,0.9628,0.8368
RIDG,RIDG_02,E,200-250,1.0028,0.8452
RIDG,RIDG_02,F,250-300,0.9883,0.8875
RIDG,RIDG_02,G,bottom,0.9751,0.8112
EELS,EELS_01,A,0-50,0.2461,0.0906
EELS,EELS_01,B,50-100,1.0511,0.6785
EELS,EELS_01,C,100-150,1.022,0.7607
EELS,EELS_01,D,150-200,0.9946,0.8705
EELS,EELS_01,E,200-250,0.9747,0.8114
EELS,EELS_01,F,250-300,0.9496,0.7737
EELS,EELS_01,G,bottom,0.9652,0.8588
SALM,SALM_01,A,0-50,0.9864,0.7614
SALM,SALM_01,B,50-100,0.9737,0.6649
SALM,SALM_01,C,100-150,1.0161,0.7675
SALM,SALM_01,D,150-200,0.9997,0.8235
SALM,SALM_01,E,200-250,1.0483,0.8921
SALM,SALM_01,F,250-300,0.9792,0.8032
SALM,SALM_01,G,bottom,0.9873,0.7682
SALM,SALM_02,A,0-50,0.9519,0.68
SALM,SALM_02,B,50-100,1.047,0.8048
SALM,SALM_02,C,100-150,0.9771,0.8204
SALM,SALM_02,D,150-200,0.9887,0.8426
SALM,SALM_02,E,200-250,0.9797,0.8512
SALM,SALM_02,F,250-300,0.9644,0.8336
SALM,SALM_02,G,bottom,1.0185,0.6764
SALM,SALM_03,A,0-50,0.9774,0.7051
SALM,SALM_03,B,50-100,1.0022,0.7659
SALM,SALM_03,C,100-150,1.0154,0.8832
SALM,SALM_03,D,150-200,1.006,0.8673
SALM,SALM_03,E,200-250,0.9733,0.8682
