site,site_id,sample_id,depth_category,total_C_G,pyc_g,ratio of pyc_total
RIDG,RIDG_01,RIDG_01A,A,345,13.8624339,0.040180968
RIDG,RIDG_01,RIDG_01B,B,89,11.3526174,0.127557499
RIDG,RIDG_01,RIDG_01C,C,32,1.6498632,0.051558225
RIDG,RIDG_01,RIDG_01D,D,7,3.4804676,0.497209657
RIDG,RIDG_01,RIDG_01E,E,13,1.7286631,0.132974085
RIDG,RIDG_01,RIDG_01F,F,12,1.7647641,0.147063675
RIDG,RIDG_01,RIDG_01G,G,10,1.693492,0.1693492
RIDG,RIDG_02,RIDG_02A,A,115.2,17.2587114,0.149815203
RIDG,RIDG_02,RIDG_02B,B,34.6,3.5086385,0.101405737
RIDG,RIDG_02,RIDG_02C,C,20.5,4.3293872,0.21118962
RIDG,RIDG_02,RIDG_02D,D,16.5,2.6073951,0.158023945
RIDG,RIDG_02,RIDG_02E,E,17.1,2.6128041,0.152795561
RIDG,RIDG_02,RIDG_02F,F,6.4,1.7960134,0.280627094
RIDG,RIDG_02,RIDG_02G,G,28.9,3.2444672,0.112265301
EELS,EELS_01,EELS_01A,A,226,7.7310037,0.034207981
EELS,EELS_01,EELS_01B,B,116,5.809628,0.050083
EELS,EELS_01,EELS_01C,C,53,5.9545988,0.112350921
EELS,EELS_01,EELS_01D,D,41,4.3761311,0.106734905
EELS,EELS_01,EELS_01E,E,21,3.3298451,0.158564052
EELS,EELS_01,EELS_01F,F,20,2.4442923,0.122214615
EELS,EELS_01,EELS_01G,G,17,2.6692913,0.157017135
SALM,SALM_01,SALM_01A,A,69,5.4032847,0.078308474
SALM,SALM_01,SALM_01B,B,118,6.828592,0.057869424
SALM,SALM_01,SALM_01C,C,67,5.2873733,0.078916019
SALM,SALM_01,SALM_01D,D,49,4.1187356,0.084055829
SALM,SALM_01,SALM_01E,E,26,3.4039874,0.130922592
SALM,SALM_01,SALM_01F,F,43,4.1013072,0.095379237
SALM,SALM_01,SALM_01G,G,68,7.0027347,0.102981393
SALM,SALM_02,SALM_02A,A,121.5,14.287215,0.117590247
SALM,SALM_02,SALM_02B,B,76.5,6.9180516,0.090432047
SALM,SALM_02,SALM_02C,C,46,4.1981373,0.091263854
SALM,SALM_02,SALM_02D,D,35,4.261151,0.121747171
SALM,SALM_02,SALM_02E,E,22.9,2.6065122,0.113821493
SALM,SALM_02,SALM_02F,F,16,6.914973,0.432185813
SALM,SALM_02,SALM_02G,G,11.7,6.6411389,0.567618709
SALM,SALM_03,SALM_03A,A,124.5,5.0498261,0.040560852
SALM,SALM_03,SALM_03B,B,103.4,6.8779685,0.066518071
SALM,SALM_03,SALM_03C,C,56.4,5.21883,0.092532447
SALM,SALM_03,SALM_03D,D,8,4.3106362,0.538829525
SALM,SALM_03,SALM_03E,E,14.9,2.6760505,0.179600705
SALM,SALM_03,SALM_03F,F,38.5,2.6361912,0.068472499
SALM,SALM_03,SALM_03G,G,11.5,1.7361969,0.150973643
GOG,GOG_01,GOG_01A,A,67,4.8896028,0.072979146
GOG,GOG_01,GOG_01B,B,54,7.2993668,0.135173459
GOG,GOG_01,GOG_01C,C,34,4.9776864,0.146402541
GOG,GOG_01,GOG_01D,D,26,3.3925129,0.130481265
GOG,GOG_01,GOG_01E,E,12,1.7633494,0.146945783
GOG,GOG_01,GOG_01F,F,12,1.8844737,0.157039475
GOG,GOG_01,GOG_01G,G,19,1.7840718,0.093898516
GOG,GOG_02,GOG_02A,A,51.5,4.931499,0.095757262
GOG,GOG_02,GOG_02B,B,56.9,8.9478236,0.157255248
GOG,GOG_02,GOG_02C,C,35.8,5.880295,0.16425405
GOG,GOG_02,GOG_02D,D,20.1,3.4448062,0.171383393
GOG,GOG_02,GOG_02E,E,24.5,3.4165603,0.139451441
GOG,GOG_02,GOG_02F,F,12.7,1.764968,0.138973858
GOG,GOG_02,GOG_02G,G,11.8,1.7236999,0.146076263
WORF,WORF_01,WORF_01A,A,96,8.4617924,0.088143671
WORF,WORF_01,WORF_01B,B,52,37.3935675,0.719107067
WORF,WORF_01,WORF_01C,C,47,7.8138549,0.166252232
WORF,WORF_01,WORF_01D,D,40,9.5775385,0.239438463
WORF,WORF_01,WORF_01E,E,17,4.7694238,0.280554341
WORF,WORF_01,WORF_01F,F,14,3.6195509,0.25853935
WORF,WORF_01,WORF_01G,G,16,4.1910779,0.261942369
WORF,WORF_02,WORF_02A,A,338.8,21.9473518,0.064779669
WORF,WORF_02,WORF_02B,B,320,16.9831551,0.05307236
WORF,WORF_02,WORF_02C,C,89.3,11.6861192,0.130863597
WORF,WORF_02,WORF_02D,D,41.9,6.3315868,0.151111857
WORF,WORF_02,WORF_02E,E,53.4,8.9222749,0.1670838
WORF,WORF_02,WORF_02F,F,55.8,7.0974364,0.127194201
WORF,WORF_02,WORF_02G,G,33.1,4.1807718,0.126307305
WORF,WORF_03,WORF_03A,A,69.1,5.6823864,0.082234246
WORF,WORF_03,WORF_03B,B,48.4,4.3230845,0.089319928
WORF,WORF_03,WORF_03C,C,31.9,4.2152886,0.132140708
WORF,WORF_03,WORF_03D,D,24.1,3.7509426,0.155640772
WORF,WORF_03,WORF_03E,E,19.9,3.4361614,0.172671427
WORF,WORF_03,WORF_03F,F,16.3,2.6732533,0.16400327
WORF,WORF_03,WORF_03G,G,48.9,3.2467223,0.066395139
WORF,WORF_04,WORF_04A,A,69,7.4991192,0.108682887
WORF,WORF_04,WORF_04B,B,40.3,3.3044474,0.081996213
WORF,WORF_04,WORF_04C,C,11,3.320694,0.301881273
WORF,WORF_04,WORF_04D,D,9,1.874079,0.208231
WORF,WORF_04,WORF_04E,E,8,1.637125,0.204640625
WORF,WORF_04,WORF_04F,F,15,1.764634,0.117642267
WORF,WORF_04,WORF_04G,G,30,3.659622,0.1219874
