lat,long,Site_id,site_name,site_type,year sampled
40.636283,-124.030983,EELS_01,Elk River ,valley mineral soil,2017
40.634817,-124.034333,RIDG_02,Ridge Trail,ridgetop mineral soil,2017
40.634117,-124.03485,RIDG_01,Ridge Trail,ridgetop mineral soil,2017
40.627983,-124.092083,SALM_01,Salmon  Creek Trail,ridgetop mineral soil,2017
40.628367,-124.093383,SALM_02,Salmon  Creek Trail,hillslope mineral soil,2017
40.629183,-124.093833,SALM_03,Salmon  Creek Trail,ridgetop mineral soil,2017
40.628102,-124.092083,SCT_01,Salmon  Creek Trail,ridgetop mineral soil,2016
40.62871,-124.06454,WORM_01,Worm Trail,ridgetop mineral soil,2016
40.62893,-124.06435,WORM_02,Worm Trail,ridgetop mineral soil,2016
40.62296,-124.06887,WORM_03,Worm Trail,alluvial fan,2016
40.628183,-124.070017,WOLF_01,Worm Trail (left fork),hillslope mineral soil,2017
40.62805,-124.07045,WOLF_02,Worm Trail (left fork),hillslope mineral soil,2017
40.629033,-124.064217,WOLF_03,Worm Trail (left fork),ridgetop mineral soil,2017
40.628767,-124.0644,WOLF_04,Worm Trail (left fork),ridgetop mineral soil,2017
40.633767,-124.061633,WORF_01,Worm Trail (right fork),hillslope mineral soil,2017
40.6339,-124.061867,WORF_02,Worm Trail (right fork),hillslope mineral soil,2017
40.630967,-124.059783,WORF_03,Worm Trail (right fork),ridgetop mineral soil,2017
40.63045,-124.05995,WORF_04,Worm Trail (right fork),ridgetop mineral soil,2017
40.623017,-124.059433,WORF_05,Worm Trail (right fork),ridgetop mineral soil,2017
40.632758,-124.0656,WOMT_01,Worm Trail (right fork),ridgetop mineral soil,2016
40.632758,-124.0656,WOMT_02,Worm Trail (right fork),ridgetop mineral soil,2016
40.619533,-124.08075,GOG_01,Govenor's Grove,ridgetop mineral soil,2017
40.619117,-124.08035,GOG_02,Govenor's Grove,ridgetop mineral soil,2017
40.61842,-124.08123,GOV_01,Govenor's Grove,colluvial hollow,2016
40.62003,-124.08127,GOV_02,Govenor's Grove,hillslope mineral soil,2016
40.6204,-124.08135,GOV_03,Govenor's Grove,hillslope mineral soil,2016
